part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
C. Externally specified assumed effects (meta-analysis level),SMD,medium (d = 0.5),Each meta-analysis weighted equally,Type S error,32,0.0017,"[0.0000*, 0.0036]",1,"7.4e-07 [1.2e-10, 0.00044]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),By effect-size count,Statistical power,32,0.958,"[0.8980, 1.0000*]",1,"0.9962 [0.7436, 1.0000]",
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),Each meta-analysis weighted equally,Statistical power,32,0.7942,"[0.6871, 0.9180]",0,"0.9962 [0.7436, 1.0000]",
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),By effect-size count,Type M error,32,1.0219,"[1.0000*, 1.0552]",1,"1.0025 [1.0000, 1.1657]",
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),Each meta-analysis weighted equally,Type M error,32,1.1235,"[1.0453, 1.2076]",0,"1.0025 [1.0000, 1.1657]",
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),By effect-size count,Type S error,32,2.30E-05,"[0.0000*, 0.00011]",1,"2.3e-11 [2.5e-19, 3.3e-06]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),SMD,large (d = 0.8),Each meta-analysis weighted equally,Type S error,32,0.00022,"[0.0000*, 0.00051]",1,"2.3e-11 [2.5e-19, 3.3e-06]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),By effect-size count,Statistical power,11,0.4813,"[0.3035, 0.7632]",0,"0.2792 [0.2462, 0.5639]",
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),Each meta-analysis weighted equally,Statistical power,11,0.3354,"[0.2108, 0.5337]",0,"0.2792 [0.2462, 0.5639]",
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),By effect-size count,Type M error,11,1.4476,"[1.1451, 1.8300]",0,"1.8768 [1.3325, 2.0169]",
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),Each meta-analysis weighted equally,Type M error,11,1.7605,"[1.3538, 2.2893]",0,"1.8768 [1.3325, 2.0169]",
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),By effect-size count,Type S error,11,0.0017,"[0.0000*, 0.0044]",1,"0.0015 [4.7e-05, 0.0027]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),Zr,small (r = 0.1),Each meta-analysis weighted equally,Type S error,11,0.0046,"[0.0000*, 0.0130]",1,"0.0015 [4.7e-05, 0.0027]",summary sensitive to the 0.025 offset
C. Externally specified assumed effects (meta-analysis level),Zr,medium (r = 0.3),By effect-size count,Statistical power,11,0.9744,"[0.9180, 1.0000*]",1,"0.9886 [0.9716, 1.0000]",
C. Externally specified assumed effects (meta-analysis level),Zr,medium (r = 0.3),Each meta-analysis weighted equally,Statistical power,11,0.9096,"[0.7682, 1.0000*]",1,"0.9886 [0.9716, 1.0000]",
C. Externally specified assumed effects (meta-analysis level),Zr,medium (r = 0.3),By effect-size count,Type M error,11,1.0142,"[1.0000*, 1.0450]",1,"1.0071 [1.0000, 1.0173]",
C. Externally specified assumed effects (meta-analysis level),Zr,medium (r = 0.3),Each meta-analysis weighted equally,Type M error,11,1.0491,"[1.0000*, 1.1395]",1,"1.0071 [1.0000, 1.0173]",
C. Externally specified assumed effects (meta-analysis level),Zr,medium (r = 0.3),By effect-size count,Type S error,11,1.80E-06,"[0.0000*, 1.6e-05]",1,"2.9e-10 [1e-16, 4.6e-09]",summary sensitive to the 0.025 offset
